"id","name","parent_id:id"
"wc1","Feeding",
"wc1_1","Drinks","wc1"
"wc1_2","Restaurants","wc1"
"wc1_3","Fast food","wc1"
"wc1_4","Supermarket","wc1"
"wc1_5","Store","wc1"
"wc2","Dwelling",
"wc2_1","Rent","wc2"
"wc2_2","Services","wc2"
"wc2_3","Maintenance, repairs","wc2"
"wc2_4","Mortgage","wc2"
"wc2_5","Insurance","wc2"
"wc3","Shopping",
"wc3_1","Home and garden","wc3"
"wc3_2","Babies, children","wc3"
"wc3_3","Electronics, accessories","wc3"
"wc3_4","Pharmacy, drugstore","wc3"
"wc3_5","Pets, animals","wc3"
"wc3_6","Stationery, tools","wc3"
"wc3_7","Gifts","wc3"
"wc3_8","Clothing","wc3"
"wc3_9","Digital purchases","wc3"
"wc4","Transport",
"wc4_1","Plane","wc4"
"wc4_2","Taxi","wc4"
"wc4_3","Bus","wc4"
"wc4_4","Business","wc4"
"wc5","Vehicles",
"wc5_1","Rental","wc5"
"wc5_2","Fuel","wc5"
"wc5_3","Parking","wc5"
"wc5_4","Accessories","wc5"
"wc5_5","Maintenance","wc5"
"wc6","Entertainment",
"wc6_1","Alcohol, tobacco","wc6"
"wc6_2","Health","wc6"
"wc6_3","Sport","wc6"
"wc6_4","Culture","wc6"
"wc6_5","Education","wc6"
"wc6_6","Hobbies","wc6"
"wc6_7","TV, streaming","wc6"
"wc6_8","Holidays, trips, hotels","wc6"
"wc7","Financial",
"wc7_1","Charges","wc7"
"wc7_2","Fees","wc7"
"wc7_3","Taxes","wc7"
"wc7_4","Fines","wc7"
"wc7_5","Interest, dividends","wc7"
"wc7_6","Insurance","wc7"
"wc7_7","Checks, coupons","wc7"
"wc7_8","Fees, donations","wc7"
"wc7_9","Loans","wc7"
"wc7_10","Salaries","wc7"
"wc7_11","Invoices","wc7"
"wc7_12","Sales","wc7"
"wc7_13","Refund","wc7"
"wc8","Investment",
"wc8_1","Savings","wc8"
"wc8_2","Real estate","wc8"
"wc8_3","Stocks","wc8"
